time,open,high,low,close,tick_volume,spread
2026-06-01T08:00:00Z,1.10000,1.10008,1.09970,1.09970,85,29
2026-06-01T08:01:00Z,1.09970,1.09980,1.09944,1.09944,81,33
2026-06-01T08:02:00Z,1.09944,1.09983,1.09944,1.09976,84,26
2026-06-01T08:03:00Z,1.09976,1.09992,1.09959,1.09992,94,27
2026-06-01T08:04:00Z,1.09992,1.10001,1.09983,1.09993,87,23
2026-06-01T08:05:00Z,1.09993,1.10009,1.09993,1.09995,88,29
2026-06-01T08:06:00Z,1.09995,1.10014,1.09991,1.10009,87,19
2026-06-01T08:07:00Z,1.10009,1.10027,1.10009,1.10015,93,20
2026-06-01T08:08:00Z,1.10015,1.10029,1.10015,1.10018,76,26
2026-06-01T08:09:00Z,1.10018,1.10062,1.10014,1.10046,89,16
2026-06-01T08:10:00Z,1.10046,1.10094,1.10046,1.10087,81,23
2026-06-01T08:11:00Z,1.10087,1.10094,1.10079,1.10094,78,19
2026-06-01T08:12:00Z,1.10094,1.10103,1.10063,1.10063,77,22
2026-06-01T08:13:00Z,1.10063,1.10082,1.10052,1.10082,85,14
2026-06-01T08:14:00Z,1.10082,1.10083,1.10067,1.10068,77,19
2026-06-01T08:15:00Z,1.10068,1.10082,1.10052,1.10082,82,18
2026-06-01T08:16:00Z,1.10082,1.10092,1.10068,1.10068,85,14
2026-06-01T08:17:00Z,1.10068,1.10108,1.10068,1.10108,82,14
2026-06-01T08:18:00Z,1.10108,1.10108,1.10072,1.10072,81,12
2026-06-01T08:19:00Z,1.10072,1.10079,1.10046,1.10046,74,15
2026-06-01T08:20:00Z,1.10046,1.10050,1.10027,1.10040,78,17
2026-06-01T08:21:00Z,1.10040,1.10070,1.10040,1.10069,81,15
2026-06-01T08:22:00Z,1.10069,1.10081,1.10051,1.10081,70,11
2026-06-01T08:23:00Z,1.10081,1.10118,1.10076,1.10101,77,13
2026-06-01T08:24:00Z,1.10101,1.10101,1.10055,1.10063,71,13
2026-06-01T08:25:00Z,1.10063,1.10063,1.10039,1.10047,74,15
2026-06-01T08:26:00Z,1.10047,1.10069,1.10047,1.10061,67,14
2026-06-01T08:27:00Z,1.10061,1.10089,1.10061,1.10076,69,15
2026-06-01T08:28:00Z,1.10076,1.10078,1.10045,1.10052,65,12
2026-06-01T08:29:00Z,1.10052,1.10102,1.10036,1.10102,66,12
2026-06-01T08:30:00Z,1.10102,1.10117,1.10085,1.10115,71,11
2026-06-01T08:31:00Z,1.10115,1.10146,1.10103,1.10139,70,9
2026-06-01T08:32:00Z,1.10139,1.10144,1.10117,1.10121,66,12
2026-06-01T08:33:00Z,1.10121,1.10150,1.10120,1.10150,68,10
2026-06-01T08:34:00Z,1.10150,1.10163,1.10141,1.10157,74,9
2026-06-01T08:35:00Z,1.10157,1.10196,1.10151,1.10188,68,13
2026-06-01T08:36:00Z,1.10188,1.10208,1.10178,1.10204,61,11
2026-06-01T08:37:00Z,1.10204,1.10240,1.10201,1.10240,74,13
2026-06-01T08:38:00Z,1.10240,1.10248,1.10225,1.10248,70,12
2026-06-01T08:39:00Z,1.10248,1.10251,1.10229,1.10244,65,13
2026-06-01T08:40:00Z,1.10244,1.10255,1.10221,1.10243,70,10
2026-06-01T08:41:00Z,1.10243,1.10268,1.10243,1.10264,65,10
2026-06-01T08:42:00Z,1.10264,1.10282,1.10261,1.10274,61,12
2026-06-01T08:43:00Z,1.10274,1.10360,1.10274,1.10360,62,13
2026-06-01T08:44:00Z,1.10360,1.10381,1.10360,1.10374,69,11
2026-06-01T08:45:00Z,1.10374,1.10385,1.10342,1.10355,58,11
2026-06-01T08:46:00Z,1.10355,1.10355,1.10316,1.10334,61,8
2026-06-01T08:47:00Z,1.10334,1.10337,1.10320,1.10320,53,10
2026-06-01T08:48:00Z,1.10320,1.10347,1.10296,1.10344,52,12
2026-06-01T08:49:00Z,1.10344,1.10357,1.10282,1.10291,54,12
2026-06-01T08:50:00Z,1.10291,1.10305,1.10283,1.10305,61,9
2026-06-01T08:51:00Z,1.10305,1.10309,1.10269,1.10270,64,12
2026-06-01T08:52:00Z,1.10270,1.10284,1.10270,1.10271,54,10
2026-06-01T08:53:00Z,1.10271,1.10298,1.10271,1.10297,56,12
2026-06-01T08:54:00Z,1.10297,1.10314,1.10297,1.10308,59,9
2026-06-01T08:55:00Z,1.10308,1.10315,1.10284,1.10285,52,9
2026-06-01T08:56:00Z,1.10285,1.10301,1.10269,1.10269,52,11
2026-06-01T08:57:00Z,1.10269,1.10272,1.10227,1.10227,51,11
2026-06-01T08:58:00Z,1.10227,1.10234,1.10213,1.10213,54,9
2026-06-01T08:59:00Z,1.10213,1.10220,1.10193,1.10195,48,10
2026-06-01T09:00:00Z,1.10195,1.10195,1.10165,1.10190,47,12
2026-06-01T09:01:00Z,1.10190,1.10203,1.10173,1.10191,55,10
2026-06-01T09:02:00Z,1.10191,1.10204,1.10185,1.10204,61,8
2026-06-01T09:03:00Z,1.10204,1.10247,1.10202,1.10245,54,12
2026-06-01T09:04:00Z,1.10245,1.10255,1.10241,1.10243,50,10
2026-06-01T09:05:00Z,1.10243,1.10264,1.10236,1.10264,53,8
2026-06-01T09:06:00Z,1.10264,1.10282,1.10252,1.10254,52,8
2026-06-01T09:07:00Z,1.10254,1.10270,1.10249,1.10270,51,11
2026-06-01T09:08:00Z,1.10270,1.10279,1.10228,1.10228,58,8
2026-06-01T09:09:00Z,1.10228,1.10232,1.10197,1.10197,50,10
2026-06-01T09:10:00Z,1.10197,1.10197,1.10143,1.10153,42,10
