time,open,high,low,close,tick_volume,spread
2026-06-01T08:00:00Z,145.000,145.020,144.975,145.011,71,45
2026-06-01T08:01:00Z,145.011,145.035,144.989,145.009,75,42
2026-06-01T08:02:00Z,145.009,145.044,145.004,145.024,73,34
2026-06-01T08:03:00Z,145.024,145.120,145.024,145.067,78,46
2026-06-01T08:04:00Z,145.067,145.102,145.065,145.075,79,36
2026-06-01T08:05:00Z,145.075,145.109,145.075,145.096,67,39
2026-06-01T08:06:00Z,145.096,145.119,145.079,145.111,75,33
2026-06-01T08:07:00Z,145.111,145.117,145.082,145.096,69,38
2026-06-01T08:08:00Z,145.096,145.157,145.078,145.116,75,30
2026-06-01T08:09:00Z,145.116,145.153,145.110,145.153,70,33
2026-06-01T08:10:00Z,145.153,145.153,145.059,145.059,77,29
2026-06-01T08:11:00Z,145.059,145.163,145.059,145.150,73,32
2026-06-01T08:12:00Z,145.150,145.250,145.150,145.243,63,24
2026-06-01T08:13:00Z,145.243,145.270,145.188,145.188,64,23
2026-06-01T08:14:00Z,145.188,145.263,145.173,145.263,60,24
2026-06-01T08:15:00Z,145.263,145.276,145.242,145.276,67,29
2026-06-01T08:16:00Z,145.276,145.298,145.255,145.288,74,27
2026-06-01T08:17:00Z,145.288,145.288,145.238,145.247,61,21
2026-06-01T08:18:00Z,145.247,145.247,145.161,145.161,68,25
2026-06-01T08:19:00Z,145.161,145.236,145.154,145.227,70,25
2026-06-01T08:20:00Z,145.227,145.231,145.136,145.177,67,18
2026-06-01T08:21:00Z,145.177,145.219,145.135,145.212,70,21
2026-06-01T08:22:00Z,145.212,145.268,145.212,145.238,68,16
2026-06-01T08:23:00Z,145.238,145.273,145.207,145.222,70,21
2026-06-01T08:24:00Z,145.222,145.268,145.205,145.268,68,17
2026-06-01T08:25:00Z,145.268,145.337,145.267,145.337,68,17
2026-06-01T08:26:00Z,145.337,145.338,145.312,145.321,61,15
2026-06-01T08:27:00Z,145.321,145.321,145.261,145.266,57,18
2026-06-01T08:28:00Z,145.266,145.278,145.213,145.267,53,18
2026-06-01T08:29:00Z,145.267,145.270,145.229,145.258,60,14
2026-06-01T08:30:00Z,145.258,145.258,145.180,145.180,61,20
2026-06-01T08:31:00Z,145.180,145.249,145.180,145.189,63,15
2026-06-01T08:32:00Z,145.189,145.230,145.189,145.223,50,21
2026-06-01T08:33:00Z,145.223,145.234,145.181,145.234,60,16
2026-06-01T08:34:00Z,145.234,145.264,145.223,145.240,61,15
2026-06-01T08:35:00Z,145.240,145.296,145.226,145.296,64,13
2026-06-01T08:36:00Z,145.296,145.306,145.217,145.217,49,14
2026-06-01T08:37:00Z,145.217,145.217,145.124,145.124,50,17
2026-06-01T08:38:00Z,145.124,145.154,145.116,145.127,53,20
2026-06-01T08:39:00Z,145.127,145.127,145.059,145.079,47,20
2026-06-01T08:40:00Z,145.079,145.218,145.079,145.179,56,17
2026-06-01T08:41:00Z,145.179,145.287,145.179,145.287,46,15
2026-06-01T08:42:00Z,145.287,145.338,145.265,145.301,47,15
2026-06-01T08:43:00Z,145.301,145.321,145.291,145.320,57,16
2026-06-01T08:44:00Z,145.320,145.320,145.218,145.231,59,17
2026-06-01T08:45:00Z,145.231,145.231,145.163,145.172,52,15
2026-06-01T08:46:00Z,145.172,145.172,145.072,145.116,56,19
2026-06-01T08:47:00Z,145.116,145.118,145.089,145.118,43,16
2026-06-01T08:48:00Z,145.118,145.202,145.118,145.174,44,19
2026-06-01T08:49:00Z,145.174,145.174,145.128,145.144,45,12
2026-06-01T08:50:00Z,145.144,145.144,145.078,145.078,43,19
2026-06-01T08:51:00Z,145.078,145.112,145.078,145.105,45,19
2026-06-01T08:52:00Z,145.105,145.178,145.105,145.176,56,14
2026-06-01T08:53:00Z,145.176,145.182,145.144,145.164,50,15
2026-06-01T08:54:00Z,145.164,145.192,145.163,145.184,46,17
2026-06-01T08:55:00Z,145.184,145.201,145.159,145.172,48,15
2026-06-01T08:56:00Z,145.172,145.189,145.146,145.188,39,12
2026-06-01T08:57:00Z,145.188,145.198,145.141,145.153,48,12
2026-06-01T08:58:00Z,145.153,145.184,145.144,145.179,51,13
2026-06-01T08:59:00Z,145.179,145.179,145.119,145.170,41,14
2026-06-01T09:00:00Z,145.170,145.187,145.165,145.168,49,14
2026-06-01T09:01:00Z,145.168,145.193,145.149,145.170,50,12
2026-06-01T09:02:00Z,145.170,145.198,145.141,145.167,49,12
2026-06-01T09:03:00Z,145.167,145.240,145.135,145.240,38,14
2026-06-01T09:04:00Z,145.240,145.270,145.186,145.270,45,13
2026-06-01T09:05:00Z,145.270,145.308,145.229,145.229,37,17
2026-06-01T09:06:00Z,145.229,145.238,145.195,145.208,49,15
2026-06-01T09:07:00Z,145.208,145.208,145.126,145.140,46,16
2026-06-01T09:08:00Z,145.140,145.195,145.135,145.142,41,18
2026-06-01T09:09:00Z,145.142,145.172,145.131,145.138,45,18
2026-06-01T09:10:00Z,145.138,145.180,145.117,145.172,49,15
2026-06-01T09:11:00Z,145.172,145.172,145.111,145.119,42,16
2026-06-01T09:12:00Z,145.119,145.140,145.090,145.111,46,18
2026-06-01T09:13:00Z,145.111,145.205,145.087,145.189,44,14
2026-06-01T09:14:00Z,145.189,145.311,145.189,145.311,39,13
2026-06-01T09:15:00Z,145.311,145.311,145.269,145.275,35,16
2026-06-01T09:16:00Z,145.275,145.291,145.214,145.214,33,16
2026-06-01T09:17:00Z,145.214,145.277,145.205,145.277,47,12
2026-06-01T09:18:00Z,145.277,145.320,145.260,145.308,47,15
2026-06-01T09:19:00Z,145.308,145.328,145.257,145.268,39,18
2026-06-01T09:20:00Z,145.268,145.271,145.211,145.226,34,17
2026-06-01T09:21:00Z,145.226,145.303,145.226,145.250,33,15
2026-06-01T09:22:00Z,145.250,145.250,145.174,145.204,35,12
2026-06-01T09:23:00Z,145.204,145.229,145.174,145.204,38,17
2026-06-01T09:24:00Z,145.204,145.237,145.190,145.227,34,13
2026-06-01T09:25:00Z,145.227,145.293,145.227,145.244,39,18
2026-06-01T09:26:00Z,145.244,145.313,145.239,145.285,41,13
2026-06-01T09:27:00Z,145.285,145.327,145.268,145.320,34,17
2026-06-01T09:28:00Z,145.320,145.334,145.284,145.284,39,15
2026-06-01T09:29:00Z,145.284,145.341,145.279,145.341,36,13
2026-06-01T09:30:00Z,145.341,145.381,145.322,145.323,30,12
2026-06-01T09:31:00Z,145.323,145.336,145.229,145.238,33,14
2026-06-01T09:32:00Z,145.238,145.275,145.208,145.275,31,16
2026-06-01T09:33:00Z,145.275,145.278,145.227,145.227,40,13
2026-06-01T09:34:00Z,145.227,145.263,145.226,145.226,25,12
2026-06-01T09:35:00Z,145.226,145.236,145.171,145.188,35,12
2026-06-01T09:36:00Z,145.188,145.237,145.186,145.197,32,15
2026-06-01T09:37:00Z,145.197,145.197,145.142,145.176,33,16
2026-06-01T09:38:00Z,145.176,145.269,145.176,145.263,40,14
2026-06-01T09:39:00Z,145.263,145.328,145.254,145.328,24,12
2026-06-01T09:40:00Z,145.328,145.328,145.261,145.264,30,18
2026-06-01T09:41:00Z,145.264,145.368,145.263,145.343,27,16
2026-06-01T09:42:00Z,145.343,145.352,145.296,145.352,37,12
2026-06-01T09:43:00Z,145.352,145.376,145.310,145.310,27,14
2026-06-01T09:44:00Z,145.310,145.434,145.310,145.419,26,15
2026-06-01T09:45:00Z,145.419,145.419,145.368,145.401,34,12
2026-06-01T09:46:00Z,145.401,145.522,145.401,145.514,27,13
2026-06-01T09:47:00Z,145.514,145.514,145.451,145.453,23,12
2026-06-01T09:48:00Z,145.453,145.474,145.376,145.376,32,15
2026-06-01T09:49:00Z,145.376,145.402,145.317,145.344,27,16
2026-06-01T09:50:00Z,145.344,145.365,145.304,145.343,32,16
2026-06-01T09:51:00Z,145.343,145.407,145.343,145.407,25,18
2026-06-01T09:52:00Z,145.407,145.407,145.290,145.290,33,14
2026-06-01T09:53:00Z,145.290,145.290,145.241,145.266,33,13
2026-06-01T09:54:00Z,145.266,145.285,145.233,145.260,23,14
2026-06-01T09:55:00Z,145.260,145.276,145.234,145.256,21,16
2026-06-01T09:56:00Z,145.256,145.282,145.228,145.232,32,15
2026-06-01T09:57:00Z,145.232,145.288,145.209,145.257,23,17
2026-06-01T09:58:00Z,145.257,145.257,145.202,145.221,28,14
2026-06-01T09:59:00Z,145.221,145.233,145.176,145.202,20,14
